train_02_289,1,1
train_08_190,1,1
train_03_189,0,0
train_06_256,0,1
train_06_91,1,1
train_06_243,1,1
train_03_74,1,1
train_01_149,0,0
train_03_267,0,1
train_07_233,0,0
train_06_232,0,1
train_01_35,1,1
train_08_220,0,0
train_08_68,1,0
train_09_A_123,1,1
train_06_126,0,1
train_04_308,1,1
train_04_180,0,0
train_04_200,0,1
train_05_217,1,1
train_07_179,0,0
train_01_51,1,1
train_06_218,1,1
train_07_292,0,0
train_01_117,0,1
train_01_25,0,1
train_05_282,1,1
train_08_58,1,0
train_06_124,1,1
train_07_110,1,1
train_06_125,1,1
train_05_104,1,1
train_08_237,1,0
train_05_230,1,1
train_02_203,0,0
train_06_198,1,0
train_04_58,0,0
train_04_19,0,1
train_03_118,0,0
train_04_75,0,0
train_08_195,0,0
train_09_B_13,0,1
train_07_305,1,1
train_09_B_31,0,0
train_08_62,0,1
train_02_172,0,1
train_05_202,0,0
train_06_119,0,1
train_07_137,0,0
train_02_315,0,0
train_02_74,0,0
train_05_271,0,0
train_01_98,1,1
train_04_197,1,1
train_02_279,1,0
train_06_224,1,1
train_03_304,1,1
train_07_199,1,1
train_05_131,0,0
train_08_149,0,0
train_04_171,1,1
train_09_A_138,0,0
train_05_192,1,1
train_05_264,0,0
train_06_273,0,1
train_02_102,0,0
train_03_164,0,0
train_02_116,1,1
train_09_A_159,0,1
train_09_B_144,0,0
train_05_53,0,0
train_01_263,1,0
train_01_136,1,1
train_04_88,0,1
train_02_229,0,0
train_01_259,1,1
train_07_48,1,1
train_01_253,0,0
train_04_114,0,1
train_03_48,0,0
train_02_69,1,1
train_08_178,1,1
train_09_A_157,0,0
train_01_60,0,0
train_01_30,1,1
train_04_163,1,1
train_09_A_97,1,1
train_01_59,0,0
train_02_127,0,1
train_06_292,0,1
train_04_289,0,0
train_06_81,1,1
train_09_A_147,1,1
train_01_190,1,1
train_03_104,1,1
train_09_B_129,1,1
train_01_324,0,0
train_07_220,0,1
train_04_73,0,1
train_08_257,1,1
train_01_294,1,1
train_06_64,0,0
train_08_32,0,1
train_04_115,1,1
train_05_315,1,1
train_03_155,0,0
train_09_A_111,0,0
train_08_294,0,0
train_01_218,0,1
train_05_295,1,1
train_05_47,1,0
train_09_B_8,1,1
train_07_283,0,0
train_06_17,0,0
train_06_44,0,0
train_08_276,1,1
train_03_201,0,0
train_04_59,1,1
train_01_322,0,0
train_04_312,0,1
train_07_103,0,1
train_06_238,1,1
train_09_B_39,1,1
train_04_31,0,0
train_09_B_45,1,1
train_05_89,1,1
train_09_B_78,0,0
train_09_A_47,0,0
train_01_284,1,1
train_09_B_14,1,1
train_03_218,0,1
train_05_241,1,1
train_08_101,1,1
train_08_262,0,0
train_03_322,0,1
train_01_156,0,1
train_05_158,1,1
train_03_180,0,0
train_03_38,1,1
train_03_292,1,1
train_03_209,1,0
train_03_62,0,1
train_03_213,0,0
train_06_11,1,1
train_06_192,1,1
train_02_118,0,0
train_01_158,1,1
train_06_69,1,1
train_01_50,1,1
train_04_3,1,1
train_09_B_126,0,1
train_05_121,1,1
train_02_49,1,1
train_06_8,0,0
train_04_215,1,1
train_04_293,0,0
train_07_43,0,0
train_07_59,1,1
train_06_242,0,0
train_09_B_143,0,1
train_09_A_48,0,1
train_08_315,1,1
train_03_166,1,0
train_08_217,1,1
train_06_166,0,0
train_03_170,0,0
train_03_232,0,1
train_04_122,0,0
train_05_132,1,1
train_02_219,1,1
train_02_225,1,0
train_06_116,1,1
train_04_86,1,1
train_08_286,1,1
train_04_65,1,1
train_07_14,1,1
train_03_4,0,1
train_04_84,0,0
train_06_121,1,1
train_01_180,1,1
train_04_248,1,1
train_04_273,0,0
train_01_21,0,0
train_04_79,0,1
train_01_111,0,1
train_02_298,1,1
train_05_72,1,1
train_05_291,1,1
train_07_323,1,1
train_06_295,1,1
train_02_47,1,1
